hazard,District,current_risk,segment_count
Wildfire,5,Medium,11089
Wildfire,6,Negligible,21133
Wildfire,6,Very Low,495
Wildfire,6,Low,6081
Wildfire,6,Low-Medium,3475
Wildfire,6,Medium,9006
Wildfire,7,Negligible,8980
Wildfire,7,Very Low,355
Wildfire,7,Low,2221
Wildfire,7,Low-Medium,2510
Wildfire,7,Medium,5009
Wildfire,7,Medium-High,1106
Wildfire,8,Negligible,6309
Wildfire,8,Very Low,1115
Wildfire,8,Low,18988
Wildfire,8,Low-Medium,1745
Wildfire,8,Medium,5826
Wildfire,8,Medium-High,1251
Wildfire,9,Negligible,363
Wildfire,9,Very Low,210
Wildfire,9,Low,8771
Wildfire,9,Low-Medium,1636
Wildfire,9,Medium,3804
Wildfire,10,Negligible,5068
Wildfire,10,Very Low,1940
Wildfire,10,Low,4803
Wildfire,10,Low-Medium,2720
Wildfire,10,Medium,11328
Wildfire,10,Medium-High,34
Wildfire,11,Negligible,5101
Wildfire,11,Very Low,3221
Wildfire,11,Low,4809
Wildfire,11,Low-Medium,1821
Wildfire,11,Medium,4482
Wildfire,11,Medium-High,719
Wildfire,12,Negligible,3414
Wildfire,12,Very Low,158
Wildfire,12,Low,470
Wildfire,12,Low-Medium,251
Wildfire,12,Medium,789
Wildfire,12,Medium-High,184
