Bridge_Type,BRIDGE,NAME,District_Label,DIST,County_Name,CO,CITY,RTE,PM,YRBLT,Age,Decade_Built,LAT,LON,LENG,MAINSPANS,APPSPANS,DECKWIDTH,DESIGN_MAIN,MATERIAL_MAIN,FAC,LOC,INTERSEC,DATA_EXTRACTED,X,Y,OBJECTID
Local,57C0401,FORESTER CREEK (BILLY MITCHEL DR),District 11,11,San Diego,SD,00000,00000,0.0,1975.0,51.0,1970,32.821125,-116.97645833,29.9,3.0,0.0,24.4,01: Slab,2: Concrete Cont,BILLY MITCHELL DR,175FT W/O MARSHAL AVE,FORESTER CREEK,2024/03/12 09:19:32+00,-13021761.0985,3871585.9297,37951
Local,57C0404,PEPPER DR. CHNL (WING AVE.),District 11,11,San Diego,SD,EL CAJON,00000,0.0,1976.0,50.0,1970,32.81840556,-116.96516667,14.0,3.0,0.0,0.0,19: Culvert,2: Concrete Cont,WING AVE,35FT N/O BRADLEY AVE,PEPPER DR CHANNEL,2024/03/12 09:19:32+00,-13020504.1158,3871225.7031,37952
Local,57C0405,CASA DE ORO CRK (OLIVE DR),District 11,11,San Diego,SD,00000,00000,0.0,1986.0,40.0,1980,32.74191111,-117.00109444,11.6,2.0,0.0,26.5,19: Culvert,2: Concrete Cont,OLIVE DR,0.2 MI E/O BANCROFT DR,CASA DE ORO CREEK,2024/03/12 09:19:32+00,-13024503.5778,3861097.504,37953
Local,57C0406,SPRING VALLEY CREEK (CENTRAL AVE),District 11,11,San Diego,SD,00000,00000,0.0,1977.0,49.0,1970,32.73079167,-117.00999722,18.9,3.0,0.0,12.2,19: Culvert,1: Concrete,CENTRAL AVE,90FT N/O TYLER ST,SPRING VALLEY CREEK,2024/03/12 09:19:32+00,-13025494.6305,3859625.9651,37954
Local,57C0407,SPRING VALLEY CREEK (TYLER ST),District 11,11,San Diego,SD,00000,00000,0.0,1977.0,49.0,1970,32.73029722,-117.01055,15.8,3.0,0.0,15.8,19: Culvert,1: Concrete,TYLER STREET,0.23MI E/O SWEETWATER RD,SPRING VALLEY CREEK,2024/03/12 09:19:32+00,-13025556.1655,3859560.5349,37955
Local,57C0408L,ESCONDIDO CRK (CNTR CTY PKWY),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1948.0,78.0,1940,33.121525,-117.08810833,39.6,4.0,0.0,11.0,01: Slab,2: Concrete Cont,CENTRE CITY PARKWY,.11M N/O VALLEY PKWY,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13034189.9242,3911446.1456,37956
Local,57C0408R,ESCONDIDO CRK (CENTRE CITY PKWY),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1948.0,78.0,1940,33.12162778,-117.08793889,39.6,4.0,0.0,11.0,01: Slab,2: Concrete Cont,CENTRE CITY PARKWY,.11M N/O VALLEY PKWY,ESCONDIDO CREEK,2024/03/12 09:19:32+00,-13034171.0618,3911459.8065,37957
Local,57C0409L,GROVE CRK (CENTRE CITY PKWY),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1964.0,62.0,1960,33.14606389,-117.09343056,18.0,3.0,0.0,11.8,19: Culvert,1: Concrete,CENTRE CITY PARKWY,1.2 MI N OF ROUTE 78,GROVE CREEK,2024/03/12 09:19:32+00,-13034782.3917,3914708.229,37958
Local,57C0409R,REIDY CRK (CENTRE CITY PKWY),District 11,11,San Diego,SD,ESCONDIDO,00000,0.0,1948.0,78.0,1940,33.14623611,-117.093325,24.7,4.0,0.0,12.6,11: Arch - Deck,3: Steel,CENTRE CITY PKWY,0.45M N/O EL NORTE PKWY,REIDY CREEK,2024/03/12 09:19:32+00,-13034770.6413,3914731.1266,37959
Local,57C0410,CASA DE ORO CRK (BARBIC CT),District 11,11,San Diego,SD,00000,00000,0.0,1966.0,60.0,1960,32.74545278,-116.99150278,13.1,3.0,0.0,8.8,19: Culvert,2: Concrete Cont,BARBIC CT,20 FT N/O KENWOOD DR,CASA DE ORO CREEK,2024/03/12 09:19:32+00,-13023435.8381,3861566.244,37960
Local,57C0411,CASA DE ORO CRK (KENWOOD DR),District 11,11,San Diego,SD,00000,00000,0.0,1967.0,59.0,1960,32.74459167,-116.99414722,15.2,3.0,0.0,24.4,19: Culvert,2: Concrete Cont,KENWOOD DR,0.3 MI SW/O SR 94,CASA DE ORO CREEK,2024/03/12 09:19:32+00,-13023730.2164,3861452.2741,37961
Local,57C0413,S. BR. CHOLLAS CRK (NAT'L AVE),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1940.0,86.0,1940,32.69600833,-117.10515833,31.7,4.0,0.0,19.5,04: Tee Beam,2: Concrete Cont,NATIONAL AVE,275 FT E/O 41ST ST,S BRANCH CHOLLAS CREEK,2024/03/12 09:19:32+00,-13036087.9185,3855023.9493,37962
Local,57C0414,CHOLLAS CREEK (32ND ST),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1985.0,41.0,1980,32.68853056,-117.12535,33.5,3.0,0.0,23.2,01: Slab,1: Concrete,32 ND ST,0.17MI N/O HARBOR DRIVE,CHOLLAS CREEK,2024/03/12 09:19:32+00,-13038335.6449,3854034.8349,37963
Local,57C0416,MAPLE CYN (FIRST AVE),District 11,11,San Diego,SD,SAN DIEGO,00000,0.0,1931.0,95.0,1930,32.734275,-117.16390556,141.1,4.0,1.0,14.6,09: Truss - Deck,3: Steel,FIRST AVE,2.5 BLKS N/O LAUREL ST,MAPLE CANYON,2024/03/12 09:19:32+00,-13042627.6309,3860086.926,37964
